Word,First,Second,Third,Fourth,Fifth,Synonyms,Antonyms,Choose the Right Synonym,Priorty
Abhor,to regard with extreme repugnance,to dislike very much,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"abominate, despise, detest, execrate, hate, loathe",love,"hate, detest, abhor, abominate, loathe mean to feel strong aversion or intense dislike for

hate implies an emotional aversion often coupled with enmity or malice
hated the enemy with a passion

detest suggests violent antipathy
detests cowards

abhor implies a deep often shuddering repugnance
a crime abhorred by all

abominate suggests strong detestation and often moral condemnation
abominates all forms of violence

loathe implies utter disgust and intolerance
loathed the mere sight of them",first
Abject,sunk to or existing in a low state or condition,cast down in spirit,expressing or offered in a humble and often ingratiating spirit,very bad or severe,"low in spirit, strength, or hope","base, humble, menial, servile, slavish","base, humble, menial, servile, slavish","mean, ignoble, abject, sordid mean being below the normal standards of human decency and dignity

mean suggests small-mindedness, ill temper, or cupidity
mean and petty satire

ignoble suggests a loss or lack of some essential high quality of mind or spirit
an ignoble scramble after material possessions

abject may imply degradation, debasement, or servility
abject poverty

sordid is stronger than all of these in stressing physical or spiritual degradation and abjectness
a sordid story of murder and revenge",first
Abrasive,"causing damage, wear, or removal of surface material by grinding or rubbing",causing damage or wear by rubbing,very unpleasant or irritating,causing irritation,Oops! So Empty!,"aggravating, annoying, bothersome, carking, chafing, disturbing, exasperating, frustrating, galling, irksome, irritating, maddening, nettlesome, nettling, peeving, pesky, pestiferous, pestilent, pestilential, pesty, plaguey 
 (also plaguy), rankling, rebarbative, riling, vexatious, vexing","aggravating, annoying, bothersome, carking, chafing, disturbing, exasperating, frustrating, galling, irksome, irritating, maddening, nettlesome, nettling, peeving, pesky, pestiferous, pestilent, pestilential, pesty, plaguey 
 (also plaguy), rankling, rebarbative, riling, vexatious, vexing",Oops! So Empty!,third
Abstinence,the practice of abstaining from something,habitual abstaining from intoxicating beverages,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"continence, self-abnegation, self-denial, sobriety, temperance",self-indulgence,Oops! So Empty!,second
Accordionist,a portable keyboard wind instrument in which the wind is forced past free reeds by means of a hand-operated bellows,folding or creased or hinged to fold like an accordion,a musical instrument that is shaped like a box and that is held in your hands and played by pulling its sides apart and then pushing them together while pressing buttons and keys,a portable keyboard musical instrument played by forcing air from a bellows past metal reeds,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,second
Ached,to suffer a usually dull persistent pain,to experience a painful eagerness or yearning,a usually dull persistent pain,a condition marked by aching,to suffer a dull continuous pain,"hurt, pain, smart","pain, pang, prick, shoot, smart, sting, stitch, throe, tingle, twinge",Oops! So Empty!,third
Acolyte,one who assists a member of the clergy in a liturgical service by performing minor duties,one who attends or assists a leader,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"adherent, convert, disciple, epigone, follower, liege man, partisan 
 (also partizan), pupil, votarist, votary","coryphaeus, leader",Oops! So Empty!,third
Acrid,sharp and harsh or unpleasantly pungent in taste or odor,deeply or violently bitter,sharp or bitter in taste or odor,very harsh or unpleasant,Oops! So Empty!,"acrimonious, bitter, embittered, hard, rancorous, resentful, sore",unbitter,"caustic, mordant, acrid, scathing mean stingingly incisive

caustic suggests a biting wit
caustic comments

mordant suggests a wit that is used with deadly effectiveness
mordant reviews of the play

acrid implies bitterness and often malevolence
acrid invective

scathing implies indignant attacks delivered with fierce severity
a scathing satire",second
Adamant,a stone (such as a diamond) formerly believed to be of impenetrable hardness,an unbreakable or extremely hard substance,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"adamantine, bullheaded, dogged, hard, hard-nosed, hardened, hardheaded, headstrong, immovable, implacable, inconvincible, inflexible, intransigent, mulish, obdurate, obstinate, opinionated, ossified, pat, pertinacious, perverse, pigheaded, self-opinionated, self-willed, stiff-necked, stubborn, unbending, uncompromising, unrelenting, unyielding, willful 
 (or wilful)","acquiescent, agreeable, amenable, compliant, complying, flexible, pliable, pliant, relenting, yielding","inflexible, obdurate, adamant mean unwilling to alter a predetermined course or purpose

inflexible implies rigid adherence or even servile conformity to principle
inflexible in their demands

obdurate stresses hardness of heart and insensitivity to appeals for mercy or the influence of divine grace
obdurate in his refusal to grant clemency

adamant implies utter immovability in the face of all temptation or entreaty
adamant that the work should continue",first
Addendum,a thing added,a supplement to a book,Oops! So Empty!,Oops! So Empty!,Oops! So Empty!,"afterword, appendix, codicil, excursus, supplement","foreword, introduction, preface, prologue 
 (also prolog)",Oops! So Empty!,first
