Season,Name of Episode,ID of the Episode,Date Aired,Average Rating,Number of Ratings,Description
Season 1,Ambush,S01E01,3 Oct. 2008,7.4,"3,362","Yoda, along with three clone troopers, must face off against Asajj Ventress and her droid army while on a mission to a moon of Rugosa."
Season 1,Rising Malevolence,S01E02,3 Oct. 2008,7.4,"2,965","General Grievous uses his latest weapon, the Malevolence, to destroy Plo Koon's fleet. Stuck in an escape pod with three clone troopers, Koon fends off more battle droids while Anakin and Ahsoka mount a rescue mission."
Season 1,Shadow of Malevolence,S01E03,10 Oct. 2008,7.4,"2,760","The Malevolence has been revealed to the Republic. Anakin and Shadow Squad, accompanied by Ahsoka and Master Koon, launch an attack in their new long-range Y-wing bombers."
Season 1,Destroy Malevolence,S01E04,17 Oct. 2008,7.5,"2,676",Padmé Amidala and C-3PO are taken hostage by Grievous aboard the Malevolence. Anakin and Obi-Wan board the ship to rescue the senator and her protocol droid.
Season 1,Rookies,S01E05,24 Oct. 2008,7.9,"2,867","Alone on a distant outpost, Commander Cody and Captain Rex must inspire the rookie clones to believe in themselves to stave off a commando droid invasion."
Season 1,Downfall of a Droid,S01E06,7 Nov. 2008,6.7,"2,469",Anakin must find the missing R2-D2 before the Separatists discover the Jedi military secrets locked in his memory banks.
Season 1,Duel of the Droids,S01E07,14 Nov. 2008,7.2,"2,449","Anakin, Ahsoka and replacement droid R3-S6 embark on a dual rescue/sabotage mission when they discover R2-D2 is being held at General Grievous' secret enemy listening post."
Season 1,Bombad Jedi,S01E08,21 Nov. 2008,6.1,"2,520","Padmé travels to Rodia to meet with old family friend Onaconda Farr about the lack of food rations. Unfortunately Farr has just made a deal with the Separatists. Padmé is imprisoned, leaving it up to Jar Jar Binks and C-3PO to rescue her."
Season 1,Cloak of Darkness,S01E09,5 Dec. 2008,8.0,"2,510","Ahsoka and Master Luminara escort captured Nute Gunray to trial, unaware that Count Dooku has dispatched his deadly apprentice Asajj Ventress to free the prisoner and eliminate the Jedi."
Season 1,Lair of Grievous,S01E10,12 Dec. 2008,8.2,"2,558",General Grievous must prove himself worthy of the Separatists when Count Dooku leads Kit Fisto and his former Padawan to Grievous' villainous enclave.
Season 1,Dooku Captured,S01E11,2 Jan. 2009,7.4,"2,291","During their own attempt to kidnap Count Dooku, Anakin and Obi-Wan discover that the Sith Lord has already been captured by pirates."
Season 1,The Gungan General,S01E12,9 Jan. 2009,7.1,"2,225","While negotiating Count Dooku's ransom, Anakin and Obi-Wan are taken prisoner. The Jedi and Sith form an unlikely alliance in a bid to escape, with Jar Jar Binks as their only hope."
Season 1,Jedi Crash,S01E13,16 Jan. 2009,7.4,"2,241","Anakin is injured while rescuing Aayla Secura from Super Battle Droids equipped with rocket packs. Ahsoka crash-lands their shuttle on the neutral planet of Maridun, where the native Lurmen villagers refuse to takes sides in the war."
Season 1,Defenders of Peace,S01E14,23 Jan. 2009,7.5,"2,224","While the Jedi combat a new Separatist weapon, the pacifist Lurmen must decide whether they will surrender or fight with Anakin, Ahsoka and Aayla Secura."
Season 1,Trespass,S01E15,30 Jan. 2009,7.8,"2,277","While investigating the disappearance of a clone security force, Anakin and Obi-Wan get caught in the middle of a conflict between the territorial inhabitants of a desolate ice world and the greedy representatives of a nearby moon."
Season 1,The Hidden Enemy,S01E16,6 Feb. 2009,7.8,"2,305",Anakin and Obi-Wan discover evidence of a traitor amongst their ranks while attempting to lead Republic forces to liberate Christophsis from a Separatist siege.
Season 1,Blue Shadow Virus,S01E17,13 Feb. 2009,6.7,"2,136","Evil scientist Dr. Nuvo Vindi is recreating the dreaded Blue Shadow Virus in his secret underground lab on Naboo. When he captures Senator Amidala and Jar Jar Binks, Anakin and Obi-Wan mount a rescue operation."
Season 1,Mystery of a Thousand Moons,S01E18,13 Feb. 2009,7.0,"2,072","The fatal Blue Shadow Virus is released, infecting Ahsoka, Padmé and many clone troopers. Anakin and Obi-Wan must find the antidote on a mysterious planet from which no visitor has ever returned."
Season 1,Storm Over Ryloth,S01E19,27 Feb. 2009,7.7,"2,146",The Separatists have invaded the Twi'lek home planet of Ryloth. Anakin and Ahsoka lead a squadron of fighters against a Trade Federation battleship commanded by Neimoidian Captain Mar Tuuk.
Season 1,Innocents of Ryloth,S01E20,6 Mar. 2009,8.0,"2,201","To sabotage a powerful Separatist weapon, Obi-Wan and a small clone force enter an occupied town, and discover that its residents are being used as a living shield."
Season 1,Liberty on Ryloth,S01E21,13 Mar. 2009,7.7,"2,090",Mace Windu and his clone troopers aim to liberate the Ryloth capitol of Lessu but needs to acquire the help of a Twi'lek resistance group led by Cham Syndulla in order to do so.
Season 1,Hostage Crisis,S01E22,20 Mar. 2009,8.0,"2,148","To free crime lord Ziro the Hutt, bounty hunters seize control of the Senate Building and take hostages, unaware that Anakin Skywalker is still inside."
Season 2,Holocron Heist,S02E01,2 Oct. 2009,8.0,"2,086",Darth Sidious commissions a bounty hunter to break into the Jedi Temple Archives.
Season 2,Cargo of Doom,S02E02,2 Oct. 2009,8.1,"2,048","With Anakin and Ahsoka in pursuit, Cad Bane seeks the last piece to unlock the holocron he stole for Darth Sidious."
Season 2,Children of the Force,S02E03,9 Oct. 2009,7.7,"1,985","With the information from the stolen holocron, Darth Sidious orders Cad Bane to kidnap several Force-sensitive children for his scheme."
Season 2,Senate Spy,S02E04,17 Oct. 2009,7.0,"1,911","At the Jedi High Council's request, Padmé investigates a Separatist conspiracy in the Senate."
Season 2,Landing at Point Rain,S02E05,4 Nov. 2009,8.2,"2,226","Anakin, Ahsoka, Obi-Wan and Ki-Adi-Mundi lead a landing party to destroy a droid factory on Geonosis."
Season 2,Weapons Factory,S02E06,13 Nov. 2009,7.8,"1,969","Luminara and Anakin act as decoys to divert new enemy super-tanks, while Padawans Barriss Offee and Ahsoka attempt to destroy a Separatist droid factory."
Season 2,Legacy of Terror,S02E07,20 Nov. 2009,7.8,"1,937","Luminara Unduli disappears during a sandstorm while following Poggle the Lesser. When Anakin and Obi-Wan track her to an ancient temple, they are attacked by undead Geonosian warriors."
Season 2,Brain Invaders,S02E08,4 Dec. 2009,8.0,"1,982","Ahsoka, Barris and Tango Company board a supply ship to a station near Ord Cestus. But one of the troopers has been infected by a Geonosian brain worm and has taken along a nest full of worm eggs to submit the others."
Season 2,Grievous Intrigue,S02E09,1 Jan. 2010,8.0,"1,876","Master Eeth Koth has tracked down General Grievous, but is soon captured and tortured as an example to the Jedi. Obi-Wan, Anakin and Adi Gallia mount a rescue attempt, unaware that Grievous is expecting them to do just that."
Season 2,The Deserter,S02E10,1 Jan. 2010,8.1,"1,979","Obi-Wan and a detachment of the 501st track down General Grievous on Saleucami. When Captain Rex is injured he is taken to a farmhouse to recuperate, only to find the farmer has a familiar face."
Season 2,Lightsaber Lost,S02E11,22 Jan. 2010,7.7,"1,926","During a mission in the underworld of Coruscant, a pickpocket steals Ahsoka's lightsaber. Too ashamed to tell Anakin, she sets out to look for the thief alone, but gets help from Tera Sinube, an ancient Jedi Master."
Season 2,The Mandalore Plot,S02E12,29 Jan. 2010,8.1,"2,018","Firmly opposed to war, Duchess Satine of Mandalore heads the Council of Neutral Systems. Obi-Wan Kenobi investigates rumors of the resurgence of the so-called Death Watch on her planet."
Season 2,Voyage of Temptation,S02E13,5 Feb. 2010,8.2,"2,021","Obi-Wan and Anakin guard the Duchess Satine and members of The Council of Neutral Systems as they travel to Coruscant aboard the luxury vessel Coronet, but a traitor amongst them has smuggled aboard a spider-shaped assassin droid."
Season 2,Duchess of Mandalore,S02E14,12 Feb. 2010,7.7,"1,882","On Coruscant, word reaches Duchess Satine that Death Watch is mobilizing, sparking a preemptive Republic invasion. On the run from Republic authorities, Satine and Obi-Wan set off to discover the group's true motives."
Season 2,Senate Murders,S02E15,5 Mar. 2010,6.9,"1,740","Padmé is working to to introduce a bill to minimize military spending and halt the creation of clone troopers. But when one of her most trusted allies is poisoned, she and Bail Organa set out to expose the murderer."
Season 2,Cat and Mouse,S02E16,26 Mar. 2010,7.6,"2,013","Anakin is tasked to fly a prototypical cloaked ship to get supplies to Bail Organa on Christophsis, but can't resist an urge to attack a blockade headed by the infamous Admiral Trench."
Season 2,Bounty Hunters,S02E17,2 Apr. 2010,7.6,"1,830","Obi-Wan, Anakin and Ahsoka crash land on Felucia and reluctantly join four bounty hunters in defending a village from Hondo Ohnaka's pirate gang."
Season 2,The Zillo Beast,S02E18,9 Apr. 2010,7.5,"1,806","When the Republic detonates a powerful electro-proton bomb to settle the battle of Malastare, it accidentally wakens an ancient and thought to be extinct Zillo Beast."
Season 2,The Zillo Beast Strikes Back,S02E19,16 Apr. 2010,7.7,"1,830",The Zillo Beast has been captured and is brought to Coruscant for testing. Chancellor Palpatine wants to learn the secrets of its invulnerability but only manages to make the beast angry enough to escape.
Season 2,Death Trap,S02E20,23 Apr. 2010,7.9,"1,821","Determined to have his revenge on Mace Windu, Boba Fett infiltrates Jedi cruiser Endurance as part of a group of young clone cadets."
Season 2,R2 Come Home,S02E21,30 Apr. 2010,7.6,"1,773","When Anakin and Mace try to rescue Admiral Kilian from his crashed cruiser, they walk into a trap set by Boba Fett and his bounty hunter associates. Then it is up to R2-D2 to try and get a message out."
Season 2,Lethal Trackdown,S02E22,30 Apr. 2010,8.1,"1,799","Boba Fett and Aurra Sing are using hostages to force Mace Windu to face them. With Mace and Anakin still recovering, Plo Koon and Ahsoka Tano track down the bounty hunters."
Season 3,Clone Cadets,S03E01,17 Sep. 2010,7.9,"2,238","Unless they want to flunk out, the clones of Domino Squad must learn to work together during their training on Kamino."
Season 3,ARC Troopers,S03E02,17 Sep. 2010,8.6,"2,127","General Grievous and Asajj Ventress combine forces in an attack on Kamino. As Anakin and Obi-Wan rush to aid Tipoca City, the clones prepare to defend their home planet."
Season 3,Supply Lines,S03E03,24 Sep. 2010,7.1,"1,884",Jedi Master Ima-Gun Di and his men are trapped on the besieged world of Ryloth. Senator Bail Organa teams up with Representative Jar Jar Binks to convince neutral King Katuunko of Toydaria to send aid to the Twi'leks of Ryloth.
Season 3,Sphere of Influence,S03E04,1 Oct. 2010,7.1,"1,669","When newly elected Chairman Papanoida's daughters are kidnapped, Senator Chuchi and Ahsoka Tano investigate the Trade Federation while Papanoida and his son follow a lead to Jabba's palace."
Season 3,Corruption,S03E05,8 Oct. 2010,6.9,"1,731",When Padmé visits Mandalore on a diplomatic mission she finds herself investigating an outbreak of a mysterious illness at a school with Duchess Satine.
Season 3,The Academy,S03E06,15 Oct. 2010,7.0,"1,704",Ahsoka is assigned to tutor at a leadership academy on Mandalore. Duchess Satine's nephew Korkie and three of his classmates discover a conspiracy involving the black market and the planet's food supplies.
Season 3,Assassin,S03E07,22 Oct. 2010,7.7,"1,725",Ahsoka receives visions about Aurra Sing attempting to assassinate Padmé Amidala and decides to accompany the Senator on a peace mission to Alderaan.
Season 3,Evil Plans,S03E08,5 Nov. 2010,6.3,"1,686",C-3PO and R2-D2 are tasked to get some Jogan fruit for a reception honoring Roonan Senator Aang. But the droids are targeted by bounty hunter Cad Bane who wants to extract information regarding the Senate from their data banks.
Season 3,Hunt for Ziro,S03E09,12 Nov. 2010,7.2,"1,705","Obi-Wan Kenobi and Quinlan Vos are assigned to retrieve Ziro the Hutt after his escape from prison. But Ziro is instantly put on trial by the five Hutt families on Nal Hutta, where his only ally may be an old lover."
Season 3,Heroes on Both Sides,S03E10,19 Nov. 2010,7.7,"1,735","Padmé visits her old mentor Mina Bonteri, who has chosen the side of the Separatists but is urging for peace talks. But the Banking Clan and several corrupt senators conspire against this initiative."
Season 3,Pursuit of Peace,S03E11,3 Dec. 2010,7.3,"1,668","Senators Amidala and Organa are opposed to funding five million new clone troopers, but they and other like-minded dignitaries find themselves targeted by thuggish bounty hunters set on changing their vote."
Season 3,Nightsisters,S03E12,7 Jan. 2011,8.7,"2,076","Darth Sidious orders Lord Tyrannus to eliminate Asajj Ventress, lest her becoming too powerful. But Ventress escapes and manages to make her way back to her home planet of Dathomir, vowing revenge on Count Dooku."
Season 3,Monster,S03E13,14 Jan. 2011,8.8,"2,080","Count Dooku accepts Mother Talzin's offer to present him with a warrior from the same tribe as Darth Maul. However, Talzin and Asajj Ventress pick and train the warrior and use Nightsister magic to bend him to their will."
Season 3,Witches of the Mist,S03E14,21 Jan. 2011,9.0,"2,123","As Count Dooku trains Savage Opress in the ways of the Dark Side, Obi-Wan and Anakin travel to Dathomir to learn more about this Zabrak Jedi killer."
Season 3,Overlords,S03E15,28 Jan. 2011,9.0,"2,416","A mysterious force draws Anakin, Obi-Wan and Ahsoka to a distant planet to determine whether Anakin is truly the Chosen One."
Season 3,Altar of Mortis,S03E16,4 Feb. 2011,8.8,"2,186","Before the Jedi can leave Mortis, the Son abducts Ahsoka and infects her with the dark side. While Anakin faces his Padawan, the Daughter reveals to Obi-Wan the only weapon that can defeat her brother: the Dagger of Mortis."
Season 3,Ghosts of Mortis,S03E17,11 Feb. 2011,9.0,"2,287",The Son shows Anakin a vision of the future to sway him to his side. Obi-Wan and Ahsoka must make sure the Son does not leave Mortis aboard their Jedi shuttle.
Season 3,The Citadel,S03E18,11 Feb. 2011,8.2,"1,797","Obi-Wan, Anakin and some of their best troopers allow themselves to be frozen in carbonite in an attempt to break into the Separatist prison known as the Citadel to rescue Master Even Piell."
Season 3,Counter Attack,S03E19,4 Mar. 2011,8.2,"1,731",The Jedi and their troops have split up to safeguard the vital information but find that getting out of the Citadel is even harder than getting in.
Season 3,Citadel Rescue,S03E20,11 Mar. 2011,8.3,"1,747",Masters Plo Koon and Saesee Tiin head a desperate rescue operation to get the survivors of the Citadel infiltration mission and the information they carry.
Season 3,Padawan Lost,S03E21,19 Mar. 2011,7.8,"1,690",Ahsoka is captured by a Trandoshan during a battle on Felucia. The reptilian aims to hunt her down for sport together with his kin.
Season 3,Wookiee Hunt,S03E22,26 Mar. 2011,8.0,"1,719",The Jedi younglings led by Ahsoka free a Wookiee prisoner from a transport. Together they form a plan to attack the Trandoshan base ship.
Season 4,Water War,S04E01,16 Sep. 2011,7.2,"1,681","The water planet Mon Calamari is on the brink of civil war. Senator Amidala and her Jedi protector Anakin Skywalker take the side of the Mon Cal, while Separatist representative Riff Tamson spurs on the Quarren."
Season 4,Gungan Attack,S04E02,16 Sep. 2011,7.2,"1,611",The Mon Cal and Jedi are in hiding beneath the underwater capital city of Mon Cal. The Jedi Council calls on the help of the Gungan army led by Jar Jar Binks.
Season 4,Prisoners,S04E03,23 Sep. 2011,7.3,"1,587",Only Prince Lee-Char and Padawan Ahsoka Tano have escaped capture and must find a way to free their comrades as well as the entire planet from the impending rule of Riff Tamson.
Season 4,Shadow Warrior,S04E04,30 Sep. 2011,7.3,"1,560",There is unrest on Naboo and the Gungans are considering to join the Separatists. But General Skywalker discovers Boss Lyonie is being influenced by dark magic against his will.
Season 4,Mercy Mission,S04E05,7 Oct. 2011,6.2,"1,581",Commander Wolffe and his men aid the Aleena whose planet has recently suffered terrible quakes. Translator droid C-3PO and his counterpart R2-D2 find the natives need them to fulfill a special task.
Season 4,Nomad Droids,S04E06,14 Oct. 2011,6.4,"1,566",3PO and R2 escape Master Galia's Jedi Cruiser in a Y-Wing fighter and find themselves in one bizarre situation after the other.
Season 4,Darkness on Umbara,S04E07,28 Oct. 2011,8.7,"2,046","During an assault on the shadowy world of Umbara, General Skywalker is called back to Coruscant. He has to relinquish command of the 501st legion to legendary Jedi Master Krell, who turns out to have a low opinion of clones."
Season 4,The General,S04E08,4 Nov. 2011,8.8,"2,011",Krell sends Captain Rex and his troopers on an impossible mission: to conquer a heavily fortified Umbaran airbase.
Season 4,Plan of Dissent,S04E09,11 Nov. 2011,8.9,"2,010",ARC Trooper Fives disagrees with General Krell's strategies and comes up with his own unauthorized plan using captured Umbaran star fighters.
